username,cluster,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6
bandw,Cluster 3,DeeNine-2,gelman@attglobal.net,wisewebwoman,Cosmoeticadotcom,WriterDave,stensson
bankofmarquis,Cluster 1,MrDHWong,RforFilm,bob-the-movie-man,brankovranjkovic,stevendbeard,eddie_baggins
barbagvido,Cluster 3,freewillyfan,morganstephens512,Cirene404,ryanskywalker-87402,thepriceofpayne,WeAreLive
barberoux,Cluster 3,noralee,FlickJunkie-2,Rich B,CharltonBoy,shadowman123,PatrynXX
barnabyrudge,Cluster 3,Coxer99,emperor_bender,afonsobritofalves,gcd70,rebeljenn,slokes
barrys82,Cluster 3,jemps918,MCMAYNERBERRY,joestank15,andro-dolic,jaybob,LazySod
basilisksamuk,Cluster 3,Meven_Stoffat,raphaklopper,Prichards12345,evan_harvey,TheNabOwnzz,matej-trkanjec-133-920386
basrutten,Cluster 3,Stampsfightclub,PatrynXX,Anonymous_Maxine,Movie-12,Agent10,mjw2305
bat-5,Cluster 3,Movie-12,Rammstein-2,redkiwi,Spleen,perfectbond,CharltonBoy
baumer,Cluster 3,Rammstein-2,gcd70,Anonymous_Maxine,Agent10,CharltonBoy,MovieAddict2016
bbewnylorac,Cluster 1,proud_luddite,Red-125,Turfseer,Quietb-1,writers_reign,howard.schumann
begob,Cluster 3,dfa120374,kannibalcorpsegrinder,Tehmeh,rajatdahiyax,TdSmth5,asda-man
beresfordjd,Cluster 3,DarthVoorhees,Prichards12345,MovieZoo,Polaris_DiB,sarastro7,kgprophet
bevo-13678,Cluster 3,MovieAddict2016,gcd70,mjw2305,Anonymous_Maxine,sme_no_densetsu,Theo Robertson
bgar-80932,Cluster 1,cruise01,nancyldraper,RussHog,kjproulx,Alexander_Blanchett,scb_coldsteel
bheadher,Cluster 1,tinovalkki,Fluke_Skywalker,TopDawgCritic,stevenrotherforth,gavinp9,peterp-450-298716
bhernandez2216,Cluster 3,thepriceofpayne,Cirene404,fernandoschiavi,alcantaraj-16594,sbweightman,freewillyfan
billcr12,Cluster 3,Takethispunch,sme_no_densetsu,zeekwunlau,kenjha,rachelrose-87356,miguelneto-74936
billion_mucks,Cluster 3,Chris_Docker,WriterDave,jpschapira,brenttraft,MichaelMargetis,Philby-3
billygoat1071,Cluster 1,TheSquiss,Sergeant_Tibbs,cultfilmfreaksdotcom,RevRonster,bryank-04844,ketgup83
bix171,Cluster 3,Spanner-2,ilovedolby,rosscinema,EmperorNortonII,FilmOtaku,Dockelektro
bkoganbing,Cluster 1,edwagreen,rmax304823,PWNYCNY,sddavis63,blanbrn,ironhorse_iv
bkrauser-81-311064,Cluster 1,Reno-Rangan,oscaralbert,subxerogravity,RforFilm,dave-mcclain,Hellmant
blackburnj-1,Cluster 3,Monotreme02,moutonbear25,come2whereimfrom,Chris Knipp,Philby-3,jaredmobarak
blacklist-1,Cluster 3,SnakesOnAnAfricanPlain,colinrgeorge,Ryan_MYeah,jonnyfendi,FilmFanatic03,dvc5159
blackmamba99971,Cluster 3,yashrajs536,Tehmeh,Prashast_Singh,blacklist-1,jdkraus,vithiet
blairgallop7,Cluster 3,tastyhotdogs,jemps918,KUAlum26,Isaac5855,Galina_movie_fan,Pavel-8
blanbrn,Cluster 1,Turfseer,meeza,gradyharp,cultfilmfan,edwagreen,aharmas
blanche-2,Cluster 1,gradyharp,edwagreen,dromasca,rmax304823,writers_reign,sddavis63
bluesman-20,Cluster 3,craig-hopton,yashrajs536,JoeB131,Prichards12345,blacklist-1,Uriah43
blumdeluxe,Cluster 1,sstrunks-05245,room102,jamesrupert2014,carlos37andre,areatw,calspers
bob-rutzel-1,Cluster 1,DarkVulcan29,Likes_Ninjas90,estebangonzalez10,Troy_Campbell,juneebuggy,Turfseer
bob-the-movie-man,Cluster 1,RforFilm,MrDHWong,stevendbeard,jadepietro,eddie_baggins,proud_luddite
bobbobwhite,Cluster 1,howard.schumann,antoniotierno,ClaytonDavis,cultfilmfan,Danusha_Goska,gradyharp
bobsgrock,Cluster 3,Steffi_P,ackstasis,jzappa,sme_no_densetsu,kenjha,galileo3
bombersflyup,Cluster 1,Lewis_Heather787,garethcrook,Alexander_Blanchett,statuskuo,stevenrotherforth,burlesonjesse5
bopdog,Cluster 3,iohefy-2,Rogue-32,Chris_Docker,rosscinema,=G=,Flagrant-Baronessa
bowmanblue,Cluster 3,BA_Harrison,brando647,The-Sarkologist,paul_haakonsen,siderite,Mr-Fusion
braddugg,Cluster 3,zeekwunlau,krational66,rachelrose-87356,f-57307,Takethispunch,h-28658
bradeybonnell,Cluster 1,RhapsodyReviews,kjproulx,henry8-3,cardsrock,southdavid,Alexander_Blanchett
brando647,Cluster 3,bowmanblue,BA_Harrison,zetes,The-Sarkologist,paul_haakonsen,siderite
brankovranjkovic,Cluster 1,rockman182,Alexander_Blanchett,austin0731,joshbarton15,MrDHWong,CANpatbuck3664
bravesfanc,Cluster 1,RevRonster,ArchonCinemaReviews,DareDevilKid,FilmMuscle,bryank-04844,billygoat1071
brchthethird,Cluster 1,ArchonCinemaReviews,DareDevilKid,RevRonster,FilmMuscle,Sergeant_Tibbs,billygoat1071
breakdownthatfilm-blogspot-com,Cluster 3,Aaron1375,jacobjohntaylor1,paul_haakonsen,view_and_review,gwnightscream,BA_Harrison
brenttraft,Cluster 3,anhedonia,iohefy-2,MichaelMargetis,The_Void,Chris_Docker,dbborroughs
brett-76260,Cluster 1,kjproulx,kevin c,bbewnylorac,imseeg,bobbobwhite,Luigi Di Pilla
brian_r_wright,Cluster 3,moutonbear25,commandercool88,jaybob,come2whereimfrom,jemps918,Chris Knipp
brianberta,Cluster 3,zzhhhqing,Takethispunch,Red-Barracuda,rachelrose-87356,Mnemosyne15,f-57307
bryanbezter,Cluster 3,ryanskywalker-87402,WeAreLive,fernandoschiavi,dilipbts,Chalice_Of_Evil,andrewnmiller
bryank-04844,Cluster 1,RevRonster,billygoat1071,ArchonCinemaReviews,FilmMuscle,cosmo_tiger,DareDevilKid
bsinc,Cluster 3,noralee,Movie Nuttball,Dockelektro,Spanner-2,PatrynXX,La Gremlin
buiger,Cluster 3,iohefy-2,Chris_Docker,WriterDave,Flagrant-Baronessa,PersianPlaya408,rosscinema
burlesonjesse5,Cluster 1,bob-the-movie-man,stevendbeard,MrDHWong,RforFilm,paul-allaer,eddie_baggins
callanvass,Cluster 3,BA_Harrison,moviewizguy,MovieAddict2016,Theo Robertson,mm-39,dee.reid
calspers,Cluster 1,kjproulx,Jo_Blo_Movie_Critic,kz917-1,henry8-3,cardsrock,AnishMisra
capone666,Cluster 1,Hellmant,nogodnomasters,Troy_Campbell,jadepietro,leonblackwood,cosmo_tiger
carbuff,Cluster 3,TdSmth5,adrongardner,quinnox-1,MBunge,Coventry,paudie
cardsrock,Cluster 1,kjproulx,henry8-3,Alexander_Blanchett,jackgdemoss,thebricks,Jo_Blo_Movie_Critic
carlos37andre,Cluster 1,msbreviews,kjproulx,justinwfirestone,Alexander_Blanchett,paul-allaer,brankovranjkovic
caseynicholson,Cluster 3,morganstephens512,freewillyfan,Tyson14,fernandoschiavi,WeAreLive,Spondonman
caspian1978,Cluster 3,afonsobritofalves,slokes,Steffi_P,SmileysWorld,gab-14712,anton-6
cat_ranchero,Cluster 3,Ryan_MYeah,Christian_Dimartino,nickmesafilms,julian-mumford,rebecca-ry,FilmFanatic03
cdjh-81125,Cluster 3,MrPupkin,CinematicInceptions,agmoldham,miguelneto-74936,RossRivero99,jdkraus
charchuk,Cluster 3,oneloveall,MichaelMargetis,lastliberal,MaxBorg89,WriterDave,mstomaso
cherold,Cluster 1,nogodnomasters,DarkVulcan29,jadepietro,Benjamin-M-Weilert,drqshadow-reviews,lasttimeisaw
chrichtonsworld,Cluster 3,jemps918,ExpendableMan,rajdoctor,come2whereimfrom,oneloveall,LazySod
chrisbrown6453,Cluster 3,Rammstein-2,CharltonBoy,Movie-12,La Gremlin,gbheron,len-21
christian123,Cluster 3,jpintar,rosscinema,EvLauster,anhedonia,gregsrants,rainking_es
christophe92300,Cluster 1,cultfilmfreaksdotcom,edwagreen,TheSquiss,PassPopcorn,secondtake,estebangonzalez10
christopher-underwood,Cluster 3,drownnnsoda,droog-56936,Coventry,Red-Barracuda,LoneWolfAndCub,billcr12
christophershobris,Cluster 3,srdjan_veljkovic,Dragonsouls,ericrnolan,mitchell5954,bhernandez2216,drawlife
chubarova,Cluster 1,kjproulx,thebricks,RussHog,colewaters,bradeybonnell,Lewis_Heather787
cinematic_aficionado,Cluster 1,billygoat1071,RevRonster,TheSquiss,cultfilmfreaksdotcom,l_rawjalaurence,shawneofthedead
cinephile-27690,Cluster 3,galileo3,sterlinrivera-2000,dbdumonteil,departed07,mOVIemAN56,rachelrose-87356
ciscokid1970,Cluster 3,andro-dolic,bobsgrock,raphaklopper,Jonny_Numb,gangstahippie,gigan-92
classicalsteve,Cluster 1,blanche-2,PWNYCNY,bkoganbing,dromasca,edwagreen,rmax304823
claudonio,Cluster 3,Rammstein-2,gcd70,chrisbrown6453,Indy-52,Chuck-149,baumer
cleary-joshua,Cluster 3,caseynicholson,t-viktor212,raphaklopper,michael_the_nermal,Thanos_Karagioras,Spondonman
cliftonofun,Cluster 1,MrDHWong,bob-the-movie-man,RforFilm,subxerogravity,justinwfirestone,stevendbeard
coasterdude44,Cluster 3,sbweightman,thepriceofpayne,bhernandez2216,Johnny-the-Film-Sentinel-2187,KeremUlucay,justin-fencsak
colewaters,Cluster 1,brankovranjkovic,MrDHWong,austin0731,CANpatbuck3664,rockman182,subxerogravity
colinrgeorge,Cluster 3,jonnyfendi,Jackpollins,SnakesOnAnAfricanPlain,Ryan_MYeah,ajs-10,blacklist-1
colonel_green,Cluster 3,moutonbear25,Pavel-8,joestank15,Monotreme02,Sparrowmaniac,MichaelMargetis
come2whereimfrom,Cluster 3,Monotreme02,fwomp,Chris Knipp,blackburnj-1,Bunuel1976,DonFishies
commandercool88,Cluster 3,jaredmobarak,moutonbear25,blackburnj-1,jemps918,fertilecelluloid,rajdoctor
coreyjdenford,Cluster 1,autisticreviewers,austin0731,CANpatbuck3664,subxerogravity,RforFilm,msbreviews
cosmo_tiger,Cluster 1,Hellmant,capone666,nogodnomasters,Troy_Campbell,leonblackwood,jadepietro
cosmorados,Cluster 3,illbebackreviews,Thats_some_scary_stuff_Reviews,kirk-246,dobbin-4,johnnymacbest,gigan-92
craig-hopton,Cluster 3,Al_The_Strange,kunalkhandwala,caseynicholson,Spondonman,morganstephens512,badajoz-1
critic-22,Cluster 3,SKG-2,Chuck-149,h-28658,gcd70,johnmschofield,Mnemosyne15
cruise01,Cluster 1,brankovranjkovic,Alexander_Blanchett,rockman182,kjproulx,austin0731,joshbarton15
ctowyi,Cluster 1,autisticreviewers,danielharden,subxerogravity,Equalizer16,dave-mcclain,themadmovieman
cultfilmfan,Cluster 1,ClaytonDavis,meeza,Turfseer,blanbrn,gradyharp,aharmas
cultfilmfreaksdotcom,Cluster 1,TheSquiss,billygoat1071,Sergeant_Tibbs,RevRonster,ketgup83,cosmo_tiger
dallasryan,Cluster 1,Treyroo,mahmus,JohnRayPeterson,lasttimeisaw,markgorman,andrewroy-04316
danielharden,Cluster 1,dave-mcclain,autisticreviewers,ctowyi,subxerogravity,coreyjdenford,Reno-Rangan
dar0417,Cluster 1,jadepietro,nogodnomasters,stevendbeard,MrDHWong,RforFilm,Anurag-Shetty
datautisticgamer-74853,Cluster 3,apararas,Animany94,ProjectAnomaly,BoydudeReviews,rbn_lrk-1,mitsubishizero
datorsiers2,Cluster 3,skepticskeptical,asda-man,h-28658,Mnemosyne15,brianberta,AbhiMathews
dave-mcclain,Cluster 1,danielharden,Reno-Rangan,subxerogravity,bob-the-movie-man,austin0731,stonedraim
davideo-2,Cluster 1,alindsay-al,gradyharp,Floated2,DarkVulcan29,dromasca,PWNYCNY
davidgee,Cluster 1,jadepietro,cosmo_tiger,phd_travel,bob-the-movie-man,Anurag-Shetty,Quietb-1
davidmvining,Cluster 3,freewillyfan,Cirene404,thepriceofpayne,bhernandez2216,WeAreLive,sbweightman
davispittman,Cluster 3,preppy-3,bowmanblue,Coventry,BA_Harrison,moonspinner55,GiraffeDoor
davydteather,Cluster 3,The_Core,Rammstein-2,emperor_bender,deatman9,helpless_dancer,gcd70
dbborroughs,Cluster 3,jaredmobarak,DICK STEEL,Buddy-51,DonFishies,fwomp,Chris Knipp
dbdumonteil,Cluster 3,MovieAddict2016,Dockelektro,m_madhu,mjw2305,OriginalMovieBuff21,redkiwi
dead47548,Cluster 3,jemps918,jaredmobarak,charchuk,WriterDave,jaybob,rajdoctor
deastman_uk,Cluster 3,Tehmeh,Dragonsouls,kriscot-48548,Prichards12345,judywalker2,fernandoschiavi
deatman9,Cluster 3,poolandrews,dee.reid,hitchcockthelegend,nickmesafilms,CuriosityKilledShawn,atinder
dee.reid,Cluster 3,Aaron1375,BA_Harrison,gigan-92,MovieAddict2016,disdressed12,johnnyboyz
deloudelouvain,Cluster 1,bob-the-movie-man,stevendbeard,RforFilm,eddie_baggins,jtindahouse,MrDHWong
denis888,Cluster 3,Theo Robertson,siderite,dbborroughs,lastliberal,ma-cortes,bowmanblue
departed07,Cluster 3,OriginalMovieBuff21,vip_ebriega,gigan-92,mjw2305,MovieAddict2016,FilmFanInTheHouse
destinylives52,Cluster 1,coreyjdenford,autisticreviewers,danielharden,Mike_Devine,brankovranjkovic,swilliky
dfa120374,Cluster 3,ersinkdotcom,Tehmeh,TdSmth5,p-jonsson,osj2507,FairlyAnonymous
dfle3,Cluster 3,siderite,socrates99,Al_The_Strange,brando647,diac228,CinematicInceptions
dfranzen70,Cluster 3,DICK STEEL,Buddy-51,zetes,dbborroughs,moviewizguy,jon.h.ochiai
diac228,Cluster 3,Buddy-51,dfranzen70,brando647,zhyarTheChosen,zetes,siderite
diane-34,Cluster 1,Red-125,gradyharp,Danusha_Goska,howard.schumann,blanche-2,bbewnylorac
didi-5,Cluster 3,Nazi_Fighter_David,kyle-cruse,mark.waltz,afonsobritofalves,Steffi_P,johnmschofield
dierregi,Cluster 1,Turfseer,davidgee,rubenm,markgorman,proud_luddite,phd_travel
digitalbeachbum,Cluster 1,alindsay-al,Fluke_Skywalker,cruise01,southdavid,ayoreinf,kermitkid
dilipbts,Cluster 3,malmsteneino,thepriceofpayne,suri_ramneek-2,dineshaishu,invisibleunicornninja,fernandoschiavi
dineshaishu,Cluster 3,dilipbts,Spike-Washington,KeremUlucay,Animany94,joshuadrake-39480,suri_ramneek-2
disdressed12,Cluster 3,johnnyboyz,Aaron1375,MovieAddict2016,BA_Harrison,moviewizguy,dee.reid
dj_xand325,Cluster 3,galileo3,bobsgrock,Jonny_Numb,johnmschofield,I_Love_Spielberg,commandercool88
djfrost-46786,Cluster 3,fernandoschiavi,KeremUlucay,Aaron1375,WeAreLive,DavidSim240183,KalKenobi83
djurrepower,Cluster 1,philthegreatone-786-63058,Turfseer,shiguangmimi,aidanratesmovies,Benjamin-M-Weilert,markgorman
dobbin-4,Cluster 3,sterlinrivera-2000,David_Frames,jts0405,SonicStuart,kirk-246,FilmFanInTheHouse
dockerykelli,Cluster 3,Electrified_Voltage,Catherine_Grace_Zeh,OllieSuave-007,davispittman,Hollywood_Yoda,mike48128
doctorsmoothlove,Cluster 3,barrys82,Chris Knipp,blackburnj-1,RCWjr,jaybob,ja_kitty_71
domino1003,Cluster 3,gigan-92,mentalcritic,poolandrews,emperor_bender,TheNorthernMonkee,supertom-3
donaldricco,Cluster 1,Alexander_Blanchett,scb_coldsteel,lojitsu,funtasticfour,brankovranjkovic,cruise01
donuthaters12,Cluster 3,raphaklopper,rebecca-ry,dragokin,seaview1,Kubris,adrongardner
doomedmac,Cluster 3,Johnny-the-Film-Sentinel-2187,Mnemosyne15,rachelrose-87356,zeekwunlau,f-57307,zzhhhqing
dpolwatte,Cluster 3,ericrnolan,Tss5078,osj2507,jfgibson73,Ryan_MYeah,ersinkdotcom
dr_foreman,Cluster 3,departed07,charchuk,I_Love_Spielberg,TheHande,MaxBorg89,supertom-3
dragokin,Cluster 3,Al_The_Strange,MrPupkin,adrongardner,raphaklopper,Tyson14,badajoz-1
drawlife,Cluster 3,WeAreLive,fernandoschiavi,freewillyfan,sbweightman,ryanskywalker-87402,bhernandez2216
dromasca,Cluster 1,meeza,gradyharp,blanche-2,davideo-2,Turfseer,cherold
droog-56936,Cluster 3,Darkside-Reviewer,MrPupkin,gwnightscream,morganstephens512,christopher-underwood,truemythmedia
drownnnsoda,Cluster 3,kannibalcorpsegrinder,atinder,Coventry,skybrick736,marcus_stokes2000,poolandrews
drqshadow-reviews,Cluster 1,alindsay-al,tomgillespie2002,ironhorse_iv,Horst_In_Translation,lasttimeisaw,Hellmant
drystyx,Cluster 3,Al_The_Strange,Wuchakk,Theo Robertson,dragokin,tomimt,bowmanblue
dunmore_ego,Cluster 3,dbborroughs,Sirus_the_Virus,MaxBorg89,moviewizguy,DonFishies,Buddy-51
dvc5159,Cluster 3,Ryan_MYeah,jonnyfendi,Meven_Stoffat,colinrgeorge,SnakesOnAnAfricanPlain,blacklist-1
dworldeater,Cluster 3,Manthorpe,Peach-2,mhasheider,emperor_bender,jcbutthead86,PredragReviews
dwpollar,Cluster 3,Spleen,Stampsfightclub,gcd70,mjw2305,OllieSuave-007,Anonymous_Maxine
dy158,Cluster 3,ianlouisiana,HotToastyRag,iohefy-2,Sylviastel,JamesHitchcock,x-54313
e-67102-48412,Cluster 3,suri_ramneek-2,dilipbts,ProjectAnomaly,malmsteneino,Pooooh,Spike-Washington
eagandersongil,Cluster 1,brankovranjkovic,Alexander_Blanchett,rockman182,austin0731,scb_coldsteel,cruise01
eberkerbatur,Cluster 1,CANpatbuck3664,austin0731,kz917-1,rockman182,scb_coldsteel,msbreviews
ebiros2,Cluster 3,WeAreLive,jerekra,fernandoschiavi,TheHande,ryanskywalker-87402,johnnymacbest
eddie_baggins,Cluster 1,stevendbeard,RforFilm,jadepietro,leonblackwood,bob-the-movie-man,Anurag-Shetty
educallejero,Cluster 3,Johnny-the-Film-Sentinel-2187,malmsteneino,bhernandez2216,zhyarTheChosen,fernandoschiavi,alcantaraj-16594
edwagreen,Cluster 1,gradyharp,rmax304823,PWNYCNY,blanche-2,meeza,bkoganbing
elcopy,Cluster 3,baumer,FlickJunkie-2,emfern13,Movie-12,gbheron,CharltonBoy
elicopperman,Cluster 3,doomedmac,datautisticgamer-74853,Animany94,ProjectAnomaly,Mnemosyne15,f-57307
elliotjeory,Cluster 1,Alexander_Blanchett,kjproulx,thebricks,lojitsu,cardsrock,Mike_Devine
elshikh4,Cluster 3,MaxBorg89,moviewizguy,dunmore_ego,EijnarAmadeus,tburke85,gigan-92
emfern13,Cluster 3,Indy-52,Dockelektro,MF210,La Gremlin,jhaggardjr,chrisbrown6453
eminkl,Cluster 1,colewaters,henry8-3,kjproulx,Alexander_Blanchett,RforFilm,Mike_Devine
emperor_bender,Cluster 3,PredragReviews,Jacques98,Red-Barracuda,malkane316,jcbutthead86,galileo3
eric262003,Cluster 3,sme_no_densetsu,dunmore_ego,jzappa,Buddy-51,fwomp,jaredmobarak
ericrnolan,Cluster 3,sbweightman,secretzfan,Tehmeh,drawlife,trashgang,matej-trkanjec-133-920386
ericstevenson,Cluster 3,Cirene404,sbweightman,thepriceofpayne,srdjan_veljkovic,bhernandez2216,popculturethoughts
ersinkdotcom,Cluster 3,dfa120374,achyutaghosh,p-jonsson,FairlyAnonymous,TdSmth5,p-stepien
eshwarmail,Cluster 1,Treyroo,cosmo_tiger,jadepietro,HelenMary,Hellmant,TheSquiss
esteban1747,Cluster 1,kevin c,sddavis63,rbrb,redryan64,rmax304823,Muhammad_Rafeeq
estebangonzalez10,Cluster 1,Hellmant,capone666,cosmo_tiger,nogodnomasters,lasttimeisaw,Troy_Campbell
estreet-eva,Cluster 1,Turfseer,griffolyon12,bob-rutzel-1,Hellmant,Troy_Campbell,Likes_Ninjas90
evan_harvey,Cluster 3,matej-trkanjec-133-920386,Fields201,Ryan_MYeah,Tehmeh,ericrnolan,TdSmth5
extravaluejotter,Cluster 3,sarastro7,Flagrant-Baronessa,PatrynXX,TheHande,mstomaso,FilmOtaku
f-57307,Cluster 3,Mnemosyne15,krational66,zzhhhqing,h-28658,g-96059,zeekwunlau
fernandoschiavi,Cluster 3,WeAreLive,ryanskywalker-87402,freewillyfan,Cirene404,thepriceofpayne,malmsteneino
fertilecelluloid,Cluster 3,ElijahCSkuggs,DonFishies,come2whereimfrom,commandercool88,Chris Knipp,Bunuel1976
fil-nik09,Cluster 1,davidgee,MikesIDhasbeentaken,peterp-450-298716,palavitsinis,Zbigniew_Krycsiwiki,Sleepin_Dragon
filipemanuelneto,Cluster 3,Stampsfightclub,hitchcockthelegend,moonspinner55,leplatypus,disdressed12,johnnyboyz
film_riot,Cluster 3,teh_mode,MichaelMargetis,shadowman123,oneloveall,charchuk,iohefy-2
fjhuerta-2,Cluster 3,Lady_Targaryen,EmperorNortonII,rbn_lrk-1,Animany94,datautisticgamer-74853,ProjectAnomaly
fmwongmd,Cluster 1,kjproulx,Alexander_Blanchett,mgd_m,Ed-Shullivan,MovieCriticOnline,elliotjeory
fntstcplnt,Cluster 1,andrewroy-04316,Lewis_Heather787,Alexander_Blanchett,kjproulx,justinwfirestone,masonsaul
framptonhollis,Cluster 3,EmmettvanHalm,andrewchristianjr,Shyinx,joshuafagan-64214,h-28658,thesouthfamily2-552-707097
freakfire-1,Cluster 3,Ozzy2000,fwomp,raypdaley182,jaddison383,tubby1,jemps918
freaky_dave,Cluster 3,gigan-92,The_Amazing_Spy_Rises,charchuk,tburke85,LazySod,joestank15
fredericksmith1952,Cluster 3,The Grand Master,kairingler,asocialis,BroadswordCallinDannyBoy,Movie Nuttball,tburke85
freewillyfan,Cluster 3,WeAreLive,Cirene404,thepriceofpayne,fernandoschiavi,ryanskywalker-87402,drawlife
freshclean-66-318608,Cluster 1,James_De_Bello,abouhelier-r,stephendaxter,scottshak_111,MattyAndAnnika,MattBrady099
funkyfry,Cluster 3,MaxBorg89,sme_no_densetsu,ShootingShark,Stampsfightclub,kenjha,poe426
funtasticfour,Cluster 1,kjproulx,southdavid,Alexander_Blanchett,cruise01,vengeance20,CANpatbuck3664
fwomp,Cluster 3,jaredmobarak,DonFishies,jaybob,jemps918,Chris Knipp,dbborroughs
g-96059,Cluster 3,Mnemosyne15,zzhhhqing,r-48240,f-57307,InlyCii,krational66
gab-14712,Cluster 3,afonsobritofalves,Steffi_P,Coxer99,Chuck-149,Nazi_Fighter_David,anton-6
galahad58-1,Cluster 3,badajoz-1,drawlife,sbweightman,freewillyfan,thepriceofpayne,srdjan_veljkovic
galileo3,Cluster 3,sme_no_densetsu,khanbaliq2,kenjha,jzappa,MovieAddict2016,Anonymous_Maxine
gangstahippie,Cluster 3,LoneWolfAndCub,jcbutthead86,hu675,pinkliz41,theshadow908,baumer
garethcrook,Cluster 1,Alexander_Blanchett,kjproulx,paul-allaer,brankovranjkovic,rockman182,joshbarton15
gary-444,Cluster 3,Chris Knipp,fwomp,jaredmobarak,jaybob,dbborroughs,rajdoctor
gavin-thelordofthefu-48-460297,Cluster 3,robert-710-767167,Animany94,vip_ebriega,Spike-Washington,jaemiewaters,ProjectAnomaly
gavinp9,Cluster 1,MrDHWong,RforFilm,stevendbeard,bob-the-movie-man,Anurag-Shetty,PyroSikTh
gazzo-2,Cluster 3,Jay_Exiomo,dunmore_ego,Barky44,Angelus2,elshikh4,WriterDave
gbheron,Cluster 3,CharltonBoy,chrisbrown6453,Rammstein-2,Movie-12,FlickJunkie-2,AKS-6
gbill-74877,Cluster 1,eagandersongil,tonypeacock-1,Tweetienator,Alexander_Blanchett,garethcrook,rockman182
gcd70,Cluster 3,Coxer99,AaronCapenBanner,bevo-13678,PredragReviews,MovieAddict2016,Spleen
gelman@attglobal.net,Cluster 3,Philby-3,stensson,EUyeshima,WriterDave,Chris Knipp,wisewebwoman
generationofswine,Cluster 3,jacobjohntaylor1,Aaron1375,fernandoschiavi,WeAreLive,Johnny-the-Film-Sentinel-2187,ryanskywalker-87402
ghost_dog86,Cluster 1,TheSquiss,billygoat1071,Sergeant_Tibbs,cultfilmfreaksdotcom,martinrobertson300482,cosmo_tiger
ghostfiendghost,Cluster 3,breakdownthatfilm-blogspot-com,gangstahippie,whpratt1,Antagonisten,ivo-cobra8,theshadow908
gigan-92,Cluster 3,dee.reid,departed07,johnnyboyz,illbebackreviews,jacobjohntaylor1,Aaron1375
gilgongo1980,Cluster 3,paul_haakonsen,bowmanblue,The-Sarkologist,BA_Harrison,view_and_review,vithiet
gradyharp,Cluster 1,phd_travel,edwagreen,Turfseer,aharmas,blanche-2,capone666
grahamsj3,Cluster 3,mOVIemAN56,Movie Nuttball,mjw2305,SMLA11,OriginalMovieBuff21,rebeljenn
gregeichelberger,Cluster 3,Jonathon_Natsis,Ryan_MYeah,FilmFanatic03,SnakesOnAnAfricanPlain,richieandsam,FairlyAnonymous
gregsrants,Cluster 3,rosscinema,anhedonia,christian123,jpintar,EvLauster,iohefy-2
griffolyon12,Cluster 1,DarkVulcan29,Hellmant,alindsay-al,estebangonzalez10,Troy_Campbell,tomgillespie2002
grumpy-3,Cluster 3,kgprophet,t-viktor212,Rob_Taylor,Tyson14,cdjh-81125,MrPupkin
gsygsy,Cluster 1,bob-the-movie-man,proud_luddite,howard.schumann,writers_reign,markgorman,Danusha_Goska
gwnightscream,Cluster 3,BA_Harrison,jacobjohntaylor1,Aaron1375,view_and_review,paul_haakonsen,Mr-Fusion
h-28658,Cluster 3,f-57307,krational66,Mnemosyne15,zzhhhqing,zeekwunlau,rachelrose-87356
hall895,Cluster 3,kenjha,sme_no_densetsu,johnnyboyz,moonspinner55,leplatypus,MovieAddict2016
harryplinkett14,Cluster 3,OttoVonB,Hey_Sweden,anselmdaniel,Spike-Washington,MrPupkin,jacobjohntaylor1
haterofcrap,Cluster 3,TheNabOwnzz,ja_kitty_71,RCWjr,Rectangular_businessman,funkyfry,willcundallreview
headly66,Cluster 1,bob-rutzel-1,Bruce722,Laakbaar,napierslogs,PartialMovieViewer,jb_campo
heisenberg12,Cluster 1,TopDawgCritic,markgorman,proud_luddite,bob-the-movie-man,eagandersongil,Benjamin-M-Weilert
hellraiser7,Cluster 3,Darth_Osmosis,illbebackreviews,PredragReviews,DavidSim240183,gwnightscream,Mr-Fusion
helpless_dancer,Cluster 3,Rammstein-2,gcd70,SKG-2,chrisbrown6453,mjw2305,Coxer99
hemant_balz,Cluster 3,pinkliz41,sme_no_densetsu,brianberta,f-57307,WriterDave,Mnemosyne15
henry8-3,Cluster 1,kjproulx,Alexander_Blanchett,cruise01,nancyldraper,cardsrock,brankovranjkovic
hitchcockthelegend,Cluster 3,BA_Harrison,Theo Robertson,ma-cortes,johnnyboyz,filipemanuelneto,mm-39
hnt_dnl,Cluster 3,CuriosityKilledShawn,AaronCapenBanner,Movie Nuttball,jcbutthead86,vip_ebriega,The Grand Master
honorhorror,Cluster 3,barrys82,Jackpollins,andro-dolic,Chris Knipp,DonFishies,fwomp
howard.schumann,Cluster 1,gradyharp,Turfseer,ClaytonDavis,meeza,cultfilmfan,dromasca
hoxjennifer,Cluster 1,tjgoalie13,DareDevilKid,monstermayhem32,abouhelier-r,tgchan,vistheindian
hu675,Cluster 3,mjw2305,poolandrews,lastliberal,dee.reid,CuriosityKilledShawn,disdressed12
ianlouisiana,Cluster 3,JamesHitchcock,Sylviastel,EUyeshima,didi-5,jaddison383,kenjha
iguth,Cluster 3,Badmoviessuck,WeAreLive,kriscot-48548,bhernandez2216,sbweightman,freewillyfan
illbebackreviews,Cluster 3,lagudafuad,f-57307,raphaklopper,Mnemosyne15,krational66,zzhhhqing
